Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
John Culberson,Male,White,TX,7,TX-7,Republican,Incumbent,76.11,1,,,47.47,,0,-7,48.5,47.1,0.221413076,3465997,3465900,Yes
Steven David,Male,White,TX,8,TX-8,Democrat,Challenger,100,1,,,24.87,,0,-28,23.9,72.7,0.078498006,34333,30212,No
Kevin Brady,Male,White,TX,8,TX-8,Republican,Incumbent,100,1,,,73.44,,1,-28,23.9,72.7,0.078498006,5195842,5844044,Yes
Al Green,Male,Non-white,TX,9,TX-9,Democrat,Incumbent,100,1,,,89.06,,1,29,79.3,18,0.286823826,559947,516621,Yes
Tawana Walter-Cadien,Female,Non-white,TX,10,TX-10,Democrat,Challenger,17.96,Runoff,30.18,0,,,,-9,43.2,52.3,0.121685675,2423,11400,No
Kevin Nelson,Male,White,TX,10,TX-10,Democrat,Challenger,4.12,0,,,,,,-9,43.2,52.3,0.121685675,26219,5449,No
Madeline K. Eden,Female,White,TX,10,TX-10,Democrat,Challenger,14.27,0,,,,,,-9,43.2,52.3,0.121685675,2500,2500,No
Matt Harris,Male,White,TX,10,TX-10,Democrat,Challenger,7.32,0,,,,,,-9,43.2,52.3,0.121685675,5115,911,No
Mike Siegel,Male,White,TX,10,TX-10,Democrat,Challenger,40,Runoff,69.82,1,46.79,,0,-9,43.2,52.3,0.121685675,473015,467273,No
Richie DeGrow,Male,White,TX,10,TX-10,Democrat,Challenger,0.78,0,,,,,,-9,43.2,52.3,0.121685675,6076,6068,No
Tami Walker,Female,White,TX,10,TX-10,Democrat,Challenger,15.56,0,,,,,,-9,43.2,52.3,0.121685675,27621,27660,No
John W. Cook,Male,White,TX,10,TX-10,Republican,Challenger,19.9,0,,,,,,-9,43.2,52.3,0.121685675,2500,2500,No
Michael T. McCaul,Male,White,TX,10,TX-10,Republican,Incumbent,80.1,1,,,51.06,,1,-9,43.2,52.3,0.121685675,1694552,1706176,Yes
Eric Pfalzgraf,Male,White,TX,11,TX-11,Democrat,Challenger,17.09,0,,,,,,-32,19.1,77.8,0.076071484,2500,2500,No
Jennie Lou Leeder,Female,White,TX,11,TX-11,Democrat,Challenger,82.91,1,,,18.44,,0,-32,19.1,77.8,0.076071484,85345,87440,No
Paul Myers,Male,White,TX,11,TX-11,Republican,Challenger,17.04,0,,,,,,-32,19.1,77.8,0.076071484,5796,5795,No
Mike Conaway,Male,White,TX,11,TX-11,Republican,Incumbent,82.96,1,,,80.14,,1,-32,19.1,77.8,0.076071484,2206795,2425081,Yes
Vanessa Adia,Female,Non-white,TX,12,TX-12,Democrat,Challenger,100,1,,,33.89,,0,-18,32.7,62.9,0.108776687,206219,174025,No
Kay Granger,Female,White,TX,12,TX-12,Republican,Incumbent,100,1,,,64.27,,1,-18,32.7,62.9,0.108776687,2053944,1967446,Yes
Greg Sagan,Male,White,TX,13,TX-13,Democrat,Challenger,100,1,,,16.93,,0,-33,16.9,79.9,0.063072674,41733,40441,No
Mac Thornberry,Male,White,TX,13,TX-13,Republican,Incumbent,100,1,,,81.54,,1,-33,16.9,79.9,0.063072674,1369597,1365192,Yes
Adrienne Bell,Female,Non-white,TX,14,TX-14,Democrat,Challenger,79.83,1,,,39.32,,0,-12,38.4,58.2,0.11237869,206838,202697,No
"Levy Q. Barnes, Jr.",Male,Non-white,TX,14,TX-14,Democrat,Challenger,20.17,0,,,,,,-12,38.4,58.2,0.11237869,2500,2500,No
"Bill ""Sarge"" Sargent",Male,White,TX,14,TX-14,Republican,Challenger,19.58,0,,,,,,-12,38.4,58.2,0.11237869,28893,28891,No
Keith Casey,Male,White,TX,14,TX-14,Republican,Challenger,5.13,0,,,,,,-12,38.4,58.2,0.11237869,2500,2500,No
Randy Weber,Male,White,TX,14,TX-14,Republican,Incumbent,75.29,1,,,59.24,,1,-12,38.4,58.2,0.11237869,771237,667396,Yes
Vicente Gonzalez,Male,Non-white,TX,15,TX-15,Democrat,Incumbent,100,1,,,59.67,,1,7,56.7,40,0.198835885,1288414,370729,Yes
Tim Westley,Male,Non-white,TX,15,TX-15,Republican,Challenger,100,1,,,38.75,,0,7,56.7,40,0.198835885,16570,15963,No
Jerome Tilghman,Male,Non-white,TX,16,TX-16,Democrat,Open,2.97,0,,,,,,17,67.9,27.2,0.262633031,29024,29027,No
Enrique Garcia,Male,Non-white,TX,16,TX-16,Democrat,Open,5.33,0,,,,,,17,67.9,27.2,0.262633031,108220,108245,No
John Carrillo,Male,Non-white,TX,16,TX-16,Democrat,Open,1.55,0,,,,,,17,67.9,27.2,0.262633031,2500,2500,No
Norma Chavez,Female,Non-white,TX,16,TX-16,Democrat,Open,6.66,0,,,,,,17,67.9,27.2,0.262633031,12251,12918,Yes
Veronica Escobar,Female,Non-white,TX,16,TX-16,Democrat,Open,61.53,1,,,68.46,,1,17,67.9,27.2,0.262633031,1404463,1135032,Yes
Dori Fenenbock,Female,White,TX,16,TX-16,Democrat,Open,21.97,0,,,,,,17,67.9,27.2,0.262633031,907891,907891,No
Alia Garcia-Ureste,Female,Non-white,TX,16,TX-16,Republican,Open,30.65,0,,,,,,17,67.9,27.2,0.262633031,2500,2500,No
Rick Seeberger,Male,White,TX,16,TX-16,Republican,Open,69.35,1,,,27.03,,0,17,67.9,27.2,0.262633031,50040,48495,No
Dale Mantey,Male,White,TX,17,TX-17,Democrat,Challenger,36.6,0,,,,,,-12,38.8,56.3,0.116919052,25471,14878,No
Rick Kennedy,Male,White,TX,17,TX-17,Democrat,Challenger,63.4,1,,,41.32,,0,-12,38.8,56.3,0.116919052,86115,82707,No
Bill Flores,Male,Non-white,TX,17,TX-17,Republican,Incumbent,100,1,,,56.81,,1,-12,38.8,56.3,0.116919052,1328233,1183963,Yes
Richard Johnson,Male,Non-white,TX,18,TX-18,Democrat,Challenger,14.7,0,,,,,,27,76.5,20,0.25394475,2500,2500,No
Sheila Jackson Lee,Female,Non-white,TX,18,TX-18,Democrat,Incumbent,85.3,1,,,75.25,,1,27,76.5,20,0.25394475,727002,756258,Yes
Ava Reynero Pate,Female,Non-white,TX,18,TX-18,Republican,Challenger,100,1,,,20.81,,0,27,76.5,20,0.25394475,10883,9891,No
Miguel Levario,Male,Non-white,TX,19,TX-19,Democrat,Challenger,100,1,,,24.77,,0,-27,23.5,72.5,0.088800208,102272,100543,No
Jodey Arrington,Male,White,TX,19,TX-19,Republican,Incumbent,100,1,,,75.23,,1,-27,23.5,72.5,0.088800208,1359672,977835,Yes
Joaquin Castro,Male,Non-white,TX,20,TX-20,Democrat,Incumbent,100,1,,,80.85,,1,10,61,34.3,0.256944453,926692,913344,Yes
Derrick Crowe,Male,White,TX,21,TX-21,Democrat,Open,23.05,0,,,,,,-10,42.5,52.5,0.1487522,175766,175458,No
Elliott McFadden,Male,White,TX,21,TX-21,Democrat,Open,17.02,0,,,,,,-10,42.5,52.5,0.1487522,110096,110096,No
Joseph Kopser,Male,White,TX,21,TX-21,Democrat,Open,29.03,Runoff,57.93,1,47.63,,0,-10,42.5,52.5,0.1487522,3167410,3091923,No
Mary Street Wilson,Female,White,TX,21,TX-21,Democrat,Open,30.9,Runoff,42.07,0,,,,-10,42.5,52.5,0.1487522,99151,98296,No
Autry J. Pruitt,Male,Non-white,TX,21,TX-21,Republican,Open,0.63,0,,,,,,-10,42.5,52.5,0.1487522,13191,13191,No
"Francisco ""Quico"" Canseco",Male,Non-white,TX,21,TX-21,Republican,Open,3.47,0,,,,,,-10,42.5,52.5,0.1487522,22361,22361,Yes
Ivan A. Andarza,Male,Non-white,TX,21,TX-21,Republican,Open,0.13,0,,,,,,-10,42.5,52.5,0.1487522,8896,8896,No
Mauro Garza,Male,Non-white,TX,21,TX-21,Republican,Open,0.92,0,,,,,,-10,42.5,52.5,0.1487522,148434,119278,No
Robert Stovall,Male,Non-white,TX,21,TX-21,Republican,Open,4.76,0,,,,,,-10,42.5,52.5,0.1487522,159354,157203,No
Susan Narvaiz,Female,Non-white,TX,21,TX-21,Republican,Open,3.79,0,,,,,,-10,42.5,52.5,0.1487522,70633,70148,Yes
Al M. Poteet,Male,White,TX,21,TX-21,Republican,Open,1.81,0,,,,,,-10,42.5,52.5,0.1487522,32041,32041,No
Eric Burkhart,Male,White,TX,21,TX-21,Republican,Open,1.01,0,,,,,,-10,42.5,52.5,0.1487522,2500,2500,No
Foster Hagen,Male,White,TX,21,TX-21,Republican,Open,0.55,0,,,,,,-10,42.5,52.5,0.1487522,13685,13685,No
Jason Isaac,Male,White,TX,21,TX-21,Republican,Open,10.04,0,,,,,,-10,42.5,52.5,0.1487522,216564,216037,Yes
Jenifer Sarver,Female,White,TX,21,TX-21,Republican,Open,5.61,0,,,,,,-10,42.5,52.5,0.1487522,204997,199602,No
Matt McCall,Male,White,TX,21,TX-21,Republican,Open,16.93,Runoff,47.31,0,,,,-10,42.5,52.5,0.1487522,325476,275323,No
Peggy Wardlaw,Female,White,TX,21,TX-21,Republican,Open,1.79,0,,,,,,-10,42.5,52.5,0.1487522,17095,12289,No
Ryan Krause,Male,White,TX,21,TX-21,Republican,Open,3.2,0,,,,,,-10,42.5,52.5,0.1487522,20417,19944,No
Samuel Temple,Male,White,TX,21,TX-21,Republican,Open,1.42,0,,,,,,-10,42.5,52.5,0.1487522,14581,14405,No
Chip Roy,Male,White,TX,21,TX-21,Republican,Open,27.06,Runoff,52.69,1,50.24,,1,-10,42.5,52.5,0.1487522,1883541,1691655,No
William Negley,Male,White,TX,21,TX-21,Republican,Open,15.55,0,,,,,,-10,42.5,52.5,0.1487522,299772,299756,No
Anthony J. White,Male,,TX,21,TX-21,Republican,Open,1.33,0,,,,,,-10,42.5,52.5,0.1487522,2500,2500,No
Letitia Plummer,Female,Non-white,TX,22,TX-22,Democrat,Challenger,24.29,Runoff,37.89,0,,,,-10,44.2,52.1,0.142416532,132634,128818,No
Sri Preston Kulkarni,Male,Non-white,TX,22,TX-22,Democrat,Challenger,31.85,Runoff,62.11,1,46.45,,0,-10,44.2,52.1,0.142416532,1592379,1530824,No
Mark Gibson,Male,Non-white,TX,22,TX-22,Democrat,Challenger,10.24,0,,,,,,-10,44.2,52.1,0.142416532,19877,24793,No
Steve Brown,Male,Non-white,TX,22,TX-22,Democrat,Challenger,20.98,0,,,,,,-10,44.2,52.1,0.142416532,54694,52880,No
Margarita Ruiz Johnson,Female,Non-white,TX,22,TX-22,Democrat,Challenger,12.64,0,,,,,,-10,44.2,52.1,0.142416532,18523,15953,No
Danny Nguyen,Male,Non-white,TX,22,TX-22,Republican,Challenger,13.49,0,,,,,,-10,44.2,52.1,0.142416532,112850,112784,Yes
Eric Zmrhal,Male,White,TX,22,TX-22,Republican,Challenger,2.57,0,,,,,,-10,44.2,52.1,0.142416532,17444,19835,No
James Green,Male,White,TX,22,TX-22,Republican,Challenger,5.53,0,,,,,,-10,44.2,52.1,0.142416532,9345,9355,No
Pete Olson,Male,White,TX,22,TX-22,Republican,Incumbent,78.41,1,,,51.36,,1,-10,44.2,52.1,0.142416532,1529223,1808295,Yes
Gina Ortiz Jones,Female,Non-white,TX,23,TX-23,Democrat,Challenger,41.56,Runoff,67.93,1,48.73,,0,-1,49.8,46.4,0.151905923,6191006,6014184,No
"Angela ""Angie"" Villescaz",Female,Non-white,TX,23,TX-23,Democrat,Challenger,9.09,0,,,,,,-1,49.8,46.4,0.151905923,2500,2500,No
Jay Hulings,Male,Non-white,TX,23,TX-23,Democrat,Challenger,14.98,0,,,,,,-1,49.8,46.4,0.151905923,565186,564793,No
Judy Canales,Female,Non-white,TX,23,TX-23,Democrat,Challenger,16.99,0,,,,,,-1,49.8,46.4,0.151905923,38555,34609,No
Rick Treviño,Male,Non-white,TX,23,TX-23,Democrat,Challenger,17.38,Runoff,32.07,0,,,,-1,49.8,46.4,0.151905923,56021,43103,No
Will Hurd,Male,Non-white,TX,23,TX-23,Republican,Incumbent,80.27,1,,,49.17,,1,-1,49.8,46.4,0.151905923,5120117,5121218,Yes
Alma Arredondo-Lynch,Female,Non-white,TX,23,TX-23,Republican,Challenger,19.73,0,,,,,,-1,49.8,46.4,0.151905923,31465,30836,No
"Edward ""Todd"" Allen",Male,White,TX,24,TX-24,Democrat,Challenger,20,0,,,,,,-9,44.5,50.7,0.194440669,12644,12576,No
Jan McDowell,Female,White,TX,24,TX-24,Democrat,Challenger,52.47,1,,,47.54,,0,-9,44.5,50.7,0.194440669,107923,93380,No
John Biggan,Male,White,TX,24,TX-24,Democrat,Challenger,21.52,0,,,,,,-9,44.5,50.7,0.194440669,86564,86564,No
Josh Imhoff,Male,White,TX,24,TX-24,Democrat,Challenger,6.02,0,,,,,,-9,44.5,50.7,0.194440669,2500,2500,No
Johnathan Kyle Davidson,Male,White,TX,24,TX-24,Republican,Challenger,25.59,0,,,,,,-9,44.5,50.7,0.194440669,,,No
Kenny E Marchant,Male,White,TX,24,TX-24,Republican,Incumbent,74.41,1,,,50.61,,1,-9,44.5,50.7,0.194440669,1222000,1089727,Yes
Chetan Panda,Male,Non-white,TX,25,TX-25,Democrat,Challenger,9.04,0,,,,,,-11,40.2,55.1,0.088924621,116107,109605,No
Chris Perri,Male,White,TX,25,TX-25,Democrat,Challenger,32.79,Runoff,47.82,0,,,,-11,40.2,55.1,0.088924621,238262,236858,No
Julie Oliver,Female,White,TX,25,TX-25,Democrat,Challenger,26.44,Runoff,52.18,1,44.78,,0,-11,40.2,55.1,0.088924621,644928,644928,No
Kathi Thomas,Female,White,TX,25,TX-25,Democrat,Challenger,21.16,0,,,,,,-11,40.2,55.1,0.088924621,40355,44254,No
West Hansen,Male,White,TX,25,TX-25,Democrat,Challenger,10.57,0,,,,,,-11,40.2,55.1,0.088924621,53232,56648,No
Roger Williams,Male,White,TX,25,TX-25,Republican,Incumbent,100,1,,,53.53,,1,-11,40.2,55.1,0.088924621,1629284,1552143,Yes
Linsey Fagan,Female,White,TX,26,TX-26,Democrat,Challenger,52.66,1,,,39.02,,0,-1,34.4,60.9,0.114987468,176157,102819,No
Will Fisher,Male,White,TX,26,TX-26,Democrat,Challenger,47.34,0,,,,,,-1,34.4,60.9,0.114987468,94886,82462,No
Michael C. Burgess,Male,White,TX,26,TX-26,Republican,Incumbent,76.99,1,,,59.38,,1,-18,34.4,60.9,0.114987468,1672804,1684681,Yes
Veronica Birkenstock,Female,White,TX,26,TX-26,Republican,Challenger,23.01,0,,,,,,-18,34.4,60.9,0.114987468,192596,190888,No
Ronnie McDonald,Male,Non-white,TX,27,TX-27,Democrat,Challenger,16.39,0,,,,,,-13,36.5,60.1,0.113486224,16283,16691,No
Eric Holguin,Male,Non-white,TX,27,TX-27,Democrat,Challenger,23.3,Runoff,61.93,1,36.61,,0,-13,36.5,60.1,0.113486224,200712,198802,No
Raul (Roy) Barrera,Male,Non-white,TX,27,TX-27,Democrat,Challenger,41.23,Runoff,38.07,0,,,,-13,36.5,60.1,0.113486224,12296,10202,No
Vanessa Edwards Foster,Female,Non-white,TX,27,TX-27,Democrat,Challenger,19.08,0,,,,,,-13,36.5,60.1,0.113486224,2500,2500,No
Bech Bruun,Male,White,TX,27,TX-27,Republican,Challenger,36.09,Runoff,38.98,0,,,,-13,36.5,60.1,0.113486224,658739,658460,No
Christopher K. Mapp,Male,White,TX,27,TX-27,Republican,Challenger,12.14,0,,,,,,-13,36.5,60.1,0.113486224,40924,43942,No
Eddie Gassman,Male,White,TX,27,TX-27,Republican,Challenger,2.8,0,,,,,,-13,36.5,60.1,0.113486224,2500,2500,No
Jerry Hall,Male,White,TX,27,TX-27,Republican,Challenger,8.27,0,,,,,,-13,36.5,60.1,0.113486224,2500,2500,No
John Grunwald,Male,White,TX,27,TX-27,Republican,Challenger,6.86,0,,,,,,-13,36.5,60.1,0.113486224,2500,2500,No
Michael Cloud,Male,White,TX,27,TX-27,Republican,Incumbent,33.83,Runoff,61.02,1,60.32,,1,-13,36.5,60.1,0.113486224,736917,612075,Yes
Henry Cuellar,Male,Non-white,TX,28,TX-28,Democrat,Incumbent,100,1,,,84.39,,1,9,58.3,38.5,0.194284107,1655904,1141915,Yes
Augustine H. Reyes,Male,Non-white,TX,29,TX-29,Democrat,Open,2.83,0,,,,,,19,71.1,25.4,0.259781142,18627,15353,No
Dominique Michelle Garcia,Female,Non-white,TX,29,TX-29,Democrat,Open,2.58,0,,,,,,19,71.1,25.4,0.259781142,2500,2500,No
Hector Morales,Male,Non-white,TX,29,TX-29,Democrat,Open,3.04,0,,,,,,19,71.1,25.4,0.259781142,11178,10793,No
Pedro Valencia,Male,Non-white,TX,29,TX-29,Democrat,Open,1.04,0,,,,,,19,71.1,25.4,0.259781142,2500,2500,No
Roel Garcia,Male,Non-white,TX,29,TX-29,Democrat,Open,6.59,0,,,,,,19,71.1,25.4,0.259781142,57721,45056,No
Sylvia R. Garcia,Female,Non-white,TX,29,TX-29,Democrat,Open,63.26,1,,,75.06,,1,19,71.1,25.4,0.259781142,1164395,977196,Yes
Tahir Javed,Male,White,TX,29,TX-29,Democrat,Open,20.67,0,,,,,,19,71.1,25.4,0.259781142,1753938,1742467,No
Jaimy Z. Blanco,Female,Non-white,TX,29,TX-29,Republican,Open,21.08,0,,,,,,19,71.1,25.4,0.259781142,31675,24582,No
Carmen Maria Montiel,Female,White,TX,29,TX-29,Republican,Open,23.58,Runoff,48.18,0,,,,19,71.1,25.4,0.259781142,28548,28405,No
Phillip Aronoff,Male,White,TX,29,TX-29,Republican,Open,38.6,Runoff,51.82,1,23.91,,0,19,71.1,25.4,0.259781142,98542,96896,No
Robert Schafranek,Male,White,TX,29,TX-29,Republican,Open,16.73,0,,,,,,19,71.1,25.4,0.259781142,2500,2500,No
Barbara Mallory Caraway,Female,Non-white,TX,30,TX-30,Democrat,Challenger,22.82,0,,,,,,29,79.1,18.3,0.241325225,78581,78767,Yes
Eric Williams,Male,Non-white,TX,30,TX-30,Democrat,Challenger,13.57,0,,,,,,29,79.1,18.3,0.241325225,2500,2500,No
Eddie Bernice Johnson,Female,Non-white,TX,30,TX-30,Democrat,Incumbent,63.6,1,,,91.05,,1,29,79.1,18.3,0.241325225,510681,255766,Yes
Christine Eady Mann,Female,White,TX,31,TX-31,Democrat,Challenger,33.51,Runoff,37.73,0,,,,-10,40.8,53.5,0.108542108,93842,91056,No
Kent Lester,Male,White,TX,31,TX-31,Democrat,Challenger,10.32,0,,,,,,-10,40.8,53.5,0.108542108,,,No
"Mary Jennings ""MJ"" Hegar",Female,White,TX,31,TX-31,Democrat,Challenger,44.93,Runoff,62.27,1,47.68,,0,-10,40.8,53.5,0.108542108,5051178,4969640,No
Mike Clark,Male,White,TX,31,TX-31,Democrat,Challenger,11.23,0,,,,,,-10,40.8,53.5,0.108542108,15598,16049,No
Mike Sweeney,Male,White,TX,31,TX-31,Republican,Challenger,34.5,0,,,,,,-10,40.8,53.5,0.108542108,56221,55243,No
John Carter,Male,White,TX,31,TX-31,Republican,Incumbent,65.5,1,,,50.59,,1,-10,40.8,53.5,0.108542108,1794443,1865173,Yes
Colin Allred,Male,Non-white,TX,32,TX-32,Democrat,Challenger,38.43,Runoff,69.35,1,52.27,,1,-5,48.5,46.6,0.204893731,5777533,5729000,No
George Rodriguez,Male,Non-white,TX,32,TX-32,Democrat,Challenger,7.59,0,,,,,,-5,48.5,46.6,0.204893731,133793,133824,No
Brett Shipp,Male,White,TX,32,TX-32,Democrat,Challenger,16.34,0,,,,,,-5,48.5,46.6,0.204893731,118062,118062,No
Ed Meier,Male,White,TX,32,TX-32,Democrat,Challenger,13.7,0,,,,,,-5,48.5,46.6,0.204893731,913015,912849,No
Lillian Salerno,Female,White,TX,32,TX-32,Democrat,Challenger,18.35,Runoff,30.65,0,,,,-5,48.5,46.6,0.204893731,669785,667619,No
Ron Marshall,Male,White,TX,32,TX-32,Democrat,Challenger,3.24,0,,,,,,-5,48.5,46.6,0.204893731,2500,2500,No
Todd Maternowski,Male,White,TX,32,TX-32,Democrat,Challenger,2.36,0,,,,,,-5,48.5,46.6,0.204893731,5731,5709,No
Paul Brown,Male,White,TX,32,TX-32,Republican,Challenger,20.71,0,,,,,,-5,48.5,46.6,0.204893731,2500,2500,No
Pete Sessions,Male,White,TX,32,TX-32,Republican,Incumbent,79.29,1,,,45.75,,0,-5,48.5,46.6,0.204893731,5052626,5034423,Yes
Marc Veasey,Male,Non-white,TX,33,TX-33,Democrat,Incumbent,70.32,1,,,76.16,,1,23,72.9,23.7,0.265227873,1490797,1375251,Yes
Carlos Quintanilla,Male,Non-white,TX,33,TX-33,Democrat,Challenger,29.68,0,,,,,,23,72.9,23.7,0.265227873,2500,2500,No
Willie Billups,Male,Non-white,TX,33,TX-33,Republican,Challenger,100,1,,,21.91,,0,23,72.9,23.7,0.265227873,53356,48782,No
Filemon B. Vela,Male,Non-white,TX,34,TX-34,Democrat,Incumbent,100,1,,,59.99,,1,10,59.2,37.7,0.202329858,1068688,672826,Yes
Rey Gonzalez,Male,Non-white,TX,34,TX-34,Republican,Challenger,100,1,,,40.01,,0,10,59.2,37.7,0.202329858,87696,93646,No
Lloyd Doggett,Male,White,TX,35,TX-35,Democrat,Incumbent,100,1,,,71.25,,1,15,64.1,30.5,0.236290136,1048119,402707,Yes
David Smalling,Male,White,TX,35,TX-35,Republican,Challenger,53.3,1,,,26.05,,0,15,64.1,30.5,0.236290136,45969,45621,No
Sherrill Kenneth (SK) Alexander,Male,White,TX,35,TX-35,Republican,Challenger,46.7,0,,,,,,15,64.1,30.5,0.236290136,9880,16631,No
Dayna Steele,Female,White,TX,36,TX-36,Democrat,Challenger,72,1,,,27.44,,0,-26,25.2,72,0.069685736,878940,872473,No
Jon Powell,Male,White,TX,36,TX-36,Democrat,Challenger,28,0,,,,,,-26,25.2,72,0.069685736,85489,85867,Yes
Brian Babin,Male,White,TX,36,TX-36,Republican,Incumbent,100,1,,,72.56,,1,-26,25.2,72,0.069685736,1158233,956099,Yes
Lee Castillo,Male,Non-white,UT,1,UT-1,Democrat,Challenger,57.21,1,,,24.89,,0,-26,22.4,49.7,0.078597661,24808,23654,No
Kurt Weiland,Male,White,UT,1,UT-1,Democrat,Challenger,42.79,0,,,,,,-26,22.4,49.7,0.078597661,14372,14030,No
Rob Bishop,Male,White,UT,1,UT-1,Republican,Incumbent,100,1,,,61.61,,1,-26,22.4,49.7,0.078597661,1195354,1018637,Yes
Shireen Ghorbani,Female,White,UT,2,UT-2,Democrat,Challenger,100,1,,,38.91,,0,-16,32,46,0.11037119,460309,424043,No
Chris Stewart,Male,White,UT,2,UT-2,Republican,Incumbent,100,1,,,56.1,,1,-16,32,46,0.11037119,967418,906996,Yes
James Singer,Male,Non-white,UT,3,UT-3,Democrat,Challenger,100,1,,,27.31,,0,-25,23.3,47.2,0.100995041,28268,33024,No
Chrisopher N. Herrod,Male,White,UT,3,UT-3,Republican,Challenger,26.68,0,,,,,,-25,23.3,47.2,0.100995041,248579,244389,Yes
John Curtis,Male,White,UT,3,UT-3,Republican,Incumbent,73.32,1,,,67.55,,1,-25,23.3,47.2,0.100995041,1538122,1356379,Yes
Ben McAdams,Male,White,UT,4,UT-4,Democrat,Challenger,100,1,,,50.13,,1,-13,32.4,39.1,0.126463114,5734352,5792734,Yes
Mia Love,Female,Non-white,UT,4,UT-4,Republican,Incumbent,100,1,,,49.87,,0,-13,32.4,39.1,0.126463114,3317683,3241713,Yes
Vangie Williams,Female,Non-white,VA,1,VA-1,Democrat,Challenger,39.8,1,,,44.8,,0,-8,41.2,53.6,0.100287405,425459,314632,No
Edwin Santana,Male,Non-white,VA,1,VA-1,Democrat,Challenger,32.8,0,,,,,,-8,41.2,53.6,0.100287405,59162,58256,No
John Suddarth,Male,White,VA,1,VA-1,Democrat,Challenger,27.3,0,,,,,,-8,41.2,53.6,0.100287405,92041,92041,No
Rob Whittman,Male,White,VA,1,VA-1,Republican,Incumbent,100,1,,,55.2,,1,-8,41.2,53.6,0.100287405,1547591,2007272,Yes
Karen Mallard,Female,White,VA,2,VA-2,Democrat,Challenger,37.7,0,,,,,,-3,45.4,48.8,0.138316218,72317,72317,No
Elaine Luria,Female,White,VA,2,VA-2,Democrat,Challenger,62.3,1,,,51.1,,1,-3,45.4,48.8,0.138316218,4221853,4190646,No
Scott Taylor,Male,Non-white,VA,2,VA-2,Republican,Incumbent,75.9,1,,,48.9,,0,-3,45.4,48.8,0.138316218,3946794,4000725,Yes
Mary Jones,Female,White,VA,2,VA-2,Republican,Challenger,24.1,0,,,,,,-3,45.4,48.8,0.138316218,85029,85029,Yes
Robert C. Scott,Male,White,VA,3,VA-3,Democrat,Incumbent,100,1,,,100,,1,16,63.6,31.9,0.189553304,644224,590174,Yes
A. Donald McEachin,Male,Non-white,VA,4,VA-4,Democrat,Incumbent,100,1,,,62.6,,1,10,58.7,37.1,0.092620277,855659,908083,Yes
Shion Fenty,Female,Non-white,VA,4,VA-4,Republican,Challenger,27.5,0,,,,,,10,58.7,37.1,0.092620277,13198,13198,No
Ryan McAdams,Male,White,VA,4,VA-4,Republican,Challenger,72.5,1,,,36,,0,10,58.7,37.1,0.092620277,234184,227917,No
Leslie Cockburn,Female,White,VA,5,VA-5,Democrat,Open,100,1,,,46.7,,0,-13,42.3,53.4,0.069802392,3505525,3308394,No
Denver Riggleman,Male,White,VA,5,VA-5,Republican,Open,100,1,,,53.3,,1,-13,42.3,53.4,0.069802392,1916833,1872997,No
Charlotte Moore,Female,White,VA,6,VA-6,Democrat,Open,18.5,0,,,,,,-13,34.9,59.7,0.079957624,2500,2500,Yes
Jennifer Lewis,Female,White,VA,6,VA-6,Democrat,Open,47.6,1,,,40.2,,0,-13,34.9,59.7,0.079957624,436796,418645,No
Peter Volosin,Male,White,VA,6,VA-6,Democrat,Open,27.2,0,,,,,,-13,34.9,59.7,0.079957624,72347,70700,No
Sergio Coppola,Male,White,VA,6,VA-6,Democrat,Open,6.7,0,,,,,,-13,34.9,59.7,0.079957624,5341,5341,No
Ben Cline,Male,White,VA,6,VA-6,Republican,Open,100,1,,,59.8,,1,-13,34.9,59.7,0.079957624,937536,933265,Yes
Daniel Ward,Male,White,VA,7,VA-7,Democrat,Challenger,27.3,0,,,,,,-6,44,50.5,0.113389044,925342,921957,No
Abigail Spanberger,Female,White,VA,7,VA-7,Democrat,Challenger,72.7,1,,,50.4,,1,-6,44,50.5,0.113389044,7183408,7125299,No
Dave Brat,Male,White,VA,7,VA-7,Republican,Incumbent,100,1,,,48.4,,0,-6,44,50.5,0.113389044,3308440,3280696,Yes
Donald Beyer,Male,White,VA,8,VA-8,Democrat,Incumbent,100,1,,,76.3,,1,21,73.5,20.9,0.319904302,2074659,1767491,Yes
Thomas Oh,Male,Non-white,VA,8,VA-8,Republican,Challenger,100,1,,,23.7,,0,21,73.5,20.9,0.319904302,67454,67454,No
Anthony Flaccavento,Male,White,VA,9,VA-9,Democrat,Challenger,78.6,1,,,34.8,,0,-19,27.3,68.8,0.050882928,1059492,1059688,No
Justin Santopietro,Male,White,VA,9,VA-9,Democrat,Challenger,21.4,0,,,,,,-19,27.3,68.8,0.050882928,26460,25351,No
Morgan Griffith,Male,White,VA,9,VA-9,Republican,Incumbent,100,1,,,65.2,,1,-19,27.3,68.8,0.050882928,1162532,1218622,Yes
Alison Friedman,Female,White,VA,10,VA-10,Democrat,Challenger,23,0,,,,,,1,52.2,42.2,0.149864842,2198203,2198588,No
Dan Helmer,Male,White,VA,10,VA-10,Democrat,Challenger,12.5,0,,,,,,1,52.2,42.2,0.149864842,1050844,1050844,No
Julia Biggins,Female,White,VA,10,VA-10,Democrat,Challenger,2.8,0,,,,,,1,52.2,42.2,0.149864842,94147,94147,No
